StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,attn_1,attn_2,basic_identity_1,q_instruction_First Click,q_instruction_Last Click,q_instruction_Page Submit,q_instruction_Click Count,q_see,q_hear,q_smell,simultaneous_or_flip,first_identity_1,comp_q,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,Q30,Q31,RandomID,cond
2024-06-27 19:21:20,2024-06-27 19:27:05,IP Address,192.126.199.173,100,345,True,2024-06-27 19:27:06,R_7PR8fuKVIjlY4fa,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,65,,,,,,,,,,Teletransportation,Male,,Hispanic or Latino,,33,College Graduate (4 year),,A3KIQMJIOC5X2S,,847672,1
2024-06-27 19:31:33,2024-06-27 19:39:29,IP Address,139.171.251.230,100,475,True,2024-06-27 19:39:30,R_50uroCdsZEBO6q1,,,,,40.7852,-73.8098,anonymous,EN,Yes,Paul,Purple,,0,0,420.529,0,"Now, while continuing to imagine yourself in both houses simultaneously, please write down what you see.","Now, while continuing to imagine yourself in both houses simultaneously, please write down what you see.","Now, while continuing to imagine yourself in both houses simultaneously, please write down what you see.","Single consciousness, flipping",79,Teletransportation,Male,,White or European,,30,Masters Degree (MS),,A3P3WD55UHHNAJ,654376,654376,2
2024-06-28 13:34:21,2024-06-28 13:34:55,IP Address,162.253.252.106,100,33,True,2024-06-28 13:34:55,R_301SmzvHtbNkrjr,,,,,45.4153,-75.6894,anonymous,EN,Yes,Paul,Green,,,,,,,,,,,,,,,,,,,,,980276,
2024-06-28 13:34:01,2024-06-28 13:35:05,IP Address,137.148.112.26,100,64,True,2024-06-28 13:35:06,R_3DnIReEVHnjSO3L,,,,,41.6018,-81.5257,anonymous,EN,Yes,Paul,Purple,0,,,,,,,,,,Teletransportation,Female,,White or European,,46,Masters Degree (MS),,A1AMGHYG5PT0L2,737850,737850,1
2024-06-28 13:35:02,2024-06-28 13:35:18,IP Address,162.253.252.106,100,15,True,2024-06-28 13:35:18,R_1dnWAxLx1VeI9Km,,,,,45.4153,-75.6894,anonymous,EN,Yes,Both John and Paul,Purple,,,,,,,,,,,,,,,,,,,,,134472,
2024-06-28 13:34:17,2024-06-28 13:35:25,IP Address,162.210.194.3,100,67,True,2024-06-28 13:35:25,R_3BX9pimx4ggwC4Q,,,,,39.7356,-75.5516,anonymous,EN,Yes,Paul,Purple,67,,,,,,,,,,Plane travel,Male,,White or European,,36,Masters Degree (MS),,A7K6K40X8HA2N," 638562",638562,1
2024-06-28 13:34:56,2024-06-28 13:36:51,IP Address,37.230.138.242,100,114,True,2024-06-28 13:36:51,R_8aadI1hhMLEfTt7,,,,,51.4964,-0.1224,anonymous,EN,Yes,Paul,Purple,83,,,,,,,,,,Teletransportation,Male,,White or European,,34,Masters Degree (MS),,A1Y3WUJG5Z54RQ,253074,253074,1
2024-06-28 13:35:24,2024-06-28 13:37:07,IP Address,162.253.252.106,100,103,True,2024-06-28 13:37:07,R_3y7ohAUnY9t4ZAJ,,,,,45.4153,-75.6894,anonymous,EN,No,Paul,Purple,59,,,,,,,,,,Plane travel,Male,,White or European,,34,College Graduate (4 year),,A1PUIM6U5XPOGI,536792,536792,1
2024-06-28 13:36:43,2024-06-28 13:37:27,IP Address,130.180.233.69,100,43,True,2024-06-28 13:37:27,R_6e7eLwFPsyKE5nb,,,,,44.8165,20.4479,anonymous,EN,Yes,Neither John nor Paul,Green,,,,,,,,,,,,,,,,,,,,,236102,
2024-06-28 13:35:34,2024-06-28 13:37:32,IP Address,192.126.140.1,100,118,True,2024-06-28 13:37:33,R_31v3iuyYlCKeRXK,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,73,,,,,,,,,,Plane travel,Male,,White or European,,35,College Graduate (4 year),,A9M8N3BOH6013,,560948,1
2024-06-28 13:34:59,2024-06-28 13:37:46,IP Address,137.155.25.165,100,166,True,2024-06-28 13:37:46,R_1qDeMeHA24lgeFs,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,53,,,,,,,,,,Teletransportation,Male,,White or European,,27,College Graduate (4 year),,A1DAQK89388WE1,976230,976230,1
2024-06-28 13:36:41,2024-06-28 13:37:56,IP Address,209.20.193.187,100,74,True,2024-06-28 13:37:56,R_1hteOkJg80KTrIN,,,,,40.6115,-74.0156,anonymous,EN,Yes,Paul,Purple,72,,,,,,,,,,Teletransportation,Male,,White or European,,45,Masters Degree (MS),,A2O1TRG2JBS4TC,712227,712227,1
2024-06-28 13:34:25,2024-06-28 13:38:02,IP Address,209.20.193.187,100,217,True,2024-06-28 13:38:03,R_3e4svUxGkgdfLnq,,,,,40.6115,-74.0156,anonymous,EN,Yes,Paul,Green,,,,,,,,,,,,,,,,,,,,,614367,
2024-06-28 13:33:44,2024-06-28 13:38:11,IP Address,207.244.71.81,100,266,True,2024-06-28 13:38:11,R_3Po555cuhpUeedG,,,,,39.6566,-75.5661,anonymous,EN,Yes,Paul,Purple,,0,0,81.48,0,"“But if you're actively trying to imagine things in order to get immediate relief from an obsessive fear or doubt, it could be a sign of a more serious issue,” says Newendorp.","Injustice anywhere is a threat to justice everywhere. We are caught in an inescapable network of mutuality, tied in a single garment of destiny. Whatever affects one directly, affects all indirectly.","Phantosmia may be caused by a head injury or upper respiratory infection. It also can be caused by aging, trauma, temporal lobe seizures, inflamed sinuses, brain tumors, certain medicines and Parkinson's disease. Phantosmia also can result from a COVID-19 infection.","Single consciousness, flipping",53,Plane travel,Male,,White or European,,36,Masters Degree (MS),,A2BD8KWEFI9PGT,681092,681092,2
2024-06-28 13:35:26,2024-06-28 13:38:26,IP Address,209.20.225.178,100,179,True,2024-06-28 13:38:26,R_5dB5Uiel1b6zd6K,,,,,40.7359,-73.9904,anonymous,EN,Yes,Paul,Purple,47,,,,,,,,,,Plane travel,Male,,White or European,,34,College Graduate (4 year),,A1V41YMR4AKA4G,338209,338209,1
2024-06-28 13:38:08,2024-06-28 13:38:33,IP Address,209.20.212.37,100,25,True,2024-06-28 13:38:34,R_6ZTZvqgkVR2Xi9M,,,,,37.751,-97.822,anonymous,EN,Yes,Neither John nor Paul,Purple,,,,,,,,,,,,,,,,,,,,,920585,
2024-06-28 13:37:05,2024-06-28 13:38:39,IP Address,139.171.194.92,100,94,True,2024-06-28 13:38:40,R_3ixLvw7KQD7rB0p,,,,,39.0469,-77.4903,anonymous,EN,Yes,Both John and Paul,Green,,,,,,,,,,,,,,,,,,,,,5335,
2024-06-28 13:33:45,2024-06-28 13:38:42,IP Address,137.155.57.110,100,297,True,2024-06-28 13:38:43,R_6YfWPWDyg5wJ33r,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,,11.54,16.41,93.711,2,"In House A, I see a cozy living room with a comfortable couch and a warm fireplace. There are family photos on the walls and a bookshelf filled with books. In the kitchen, I see a table set for dinner with a pot of soup simmering on the stove. Upstairs, I see a bedroom with a fluffy bed and a window overlooking a garden.

In House B, I see a modern living room with sleek furniture and a large TV. The kitchen has granite countertops and stainless steel appliances. There is a dining table set for a fancy dinner party. Upstairs, I see a spacious master bedroom with a king-sized bed and a luxurious en-suite bathroom.

I am able to switch between these two houses in my mind, experiencing the comfort and warmth of one and the luxury and glamour of the other. It is a fascinating exercise in imagination and visualization.","In one house, I hear the sound of a kettle boiling on the stove, the faint hum of a distant radio playing classical music, and the ticking of a clock on the wall.

In the other house, I hear the sound of children laughing and playing in the backyard, the muffled voices of adults chatting in the living room, and the distant bark of a dog from next door.","In the first house, I smell the crisp scent of fresh linens and the subtle hint of lavender from a nearby candle. The air is clean and refreshing, making me feel relaxed and at ease. 

In the second house, I smell the savory aroma of a home-cooked meal wafting from the kitchen. The rich scent of herbs and spices fills the air, making my mouth water in anticipation. The cozy and inviting smell makes me feel warm and welcomed.","Single consciousness, flipping",90,Plane travel,Male,,White or European,,1990,Masters Degree (MS),,A2VWOMC14GGPBO,764646,764646,2
2024-06-28 13:37:28,2024-06-28 13:38:50,IP Address,209.20.205.78,100,81,True,2024-06-28 13:38:51,R_7GCDY22BL0fAsHE,,,,,40.6115,-74.0156,anonymous,EN,Yes,Paul,Purple,47,,,,,,,,,,Teletransportation,Male,,White or European,,34,College Graduate (4 year),,AP81RXXE55RN5,465227,465227,1
2024-06-28 13:35:51,2024-06-28 13:38:50,IP Address,139.171.160.198,100,179,True,2024-06-28 13:38:51,R_3h5CBVevMwFYziA,,,,,43.1139,-79.0425,anonymous,EN,Yes,Paul,Purple,71,,,,,,,,,,Plane travel,Male,,White or European,,34,College Graduate (4 year),,ANTC2BB2H27CQ,199687,199687,1
2024-06-28 13:35:14,2024-06-28 13:39:09,IP Address,139.171.160.118,100,235,True,2024-06-28 13:39:10,R_1ez4Pxa5Y8PkUGM,,,,,43.1139,-79.0425,anonymous,EN,Yes,Paul,Purple,70,,,,,,,,,,Teletransportation,Male,,White or European,,34,College Graduate (4 year),,A3QDL7RGWVEHWW,358011,358011,1
2024-06-28 13:35:25,2024-06-28 13:39:22,IP Address,47.212.80.101,100,237,True,2024-06-28 13:39:23,R_6RGlPMLu88HWNkl,,,,,35.7767,-90.7694,anonymous,EN,Yes,Paul,Purple,,5.539,53.463,62.328,10,my friend cooking and relative sweeping,food boiling and the wisk of the broom,the smell of food and dust,"Single consciousness, split screen",100,Teletransportation,Male,,White or European,,42,Some College,,AB09F0Q4T10TE,927414,927414,2
2024-06-28 13:34:46,2024-06-28 13:39:27,IP Address,209.20.237.50,100,280,True,2024-06-28 13:39:27,R_5ya2tcjyR8i6Ptg,,,,,40.7359,-73.9904,anonymous,EN,Yes,Paul,Purple,44,,,,,,,,,,Teletransportation,Male,,White or European,,34,College Graduate (4 year),,A1NT1TU7ZPA5TF,116904,116904,1
2024-06-28 13:36:05,2024-06-28 13:39:53,IP Address,139.171.160.86,100,228,True,2024-06-28 13:39:54,R_6esowWzCjFfkLtT,,,,,43.1139,-79.0425,anonymous,EN,Yes,Paul,Purple,73,,,,,,,,,,Teletransportation,Male,,White or European,,34,Masters Degree (MS),,AQ1W2Q6EVXFT7,903474,903474,1
2024-06-28 13:37:36,2024-06-28 13:39:54,IP Address,209.20.204.138,100,137,True,2024-06-28 13:39:54,R_7EuKefgnQSRsqZE,,,,,40.6115,-74.0156,anonymous,EN,Yes,Paul,Purple,66,,,,,,,,,,Teletransportation,Male,,White or European,,34,College Graduate (4 year),,A2ZN2GL7SHJP27,271982,271982,1
2024-06-28 13:34:58,2024-06-28 13:40:02,IP Address,205.220.213.214,100,303,True,2024-06-28 13:40:02,R_6FQjDxlDDyToHvI,,,,,44.0944,-121.2863,anonymous,EN,Yes,Paul,Purple,69,,,,,,,,,,Plane travel,Male,,White or European,,43,Masters Degree (MS),,A2XHU5CP7WSROP,,224956,1
2024-06-28 13:36:37,2024-06-28 13:40:12,IP Address,209.20.207.72,100,214,True,2024-06-28 13:40:12,R_3sUbf6xRvFKUauR,,,,,40.6115,-74.0156,anonymous,EN,Yes,Both John and Paul,Purple,,,,,,,,,,,,,,,,,,,,,69670,
2024-06-28 13:39:14,2024-06-28 13:40:13,IP Address,209.20.248.249,100,58,True,2024-06-28 13:40:13,R_3lcwwwNunRJiXPq,,,,,37.751,-97.822,anonymous,EN,Yes,Neither John nor Paul,Purple,,,,,,,,,,,,,,,,,,,,,742048,
2024-06-28 13:38:58,2024-06-28 13:40:28,IP Address,172.14.118.218,100,89,True,2024-06-28 13:40:28,R_3OZKcCnS5mX4Xqc,,,,,34.1607,-118.2264,anonymous,EN,Yes,Paul,Purple,100,,,,,,,,,,Teletransportation,Female,,Asian,,39,College Graduate (4 year),,A1BM57TUNAQIXM,59362,59362,1
2024-06-28 13:37:00,2024-06-28 13:40:41,IP Address,139.171.165.88,100,221,True,2024-06-28 13:40:42,R_7sRBor6Q3D0qcpv,,,,,43.1139,-79.0425,anonymous,EN,Yes,Paul,Purple,100,,,,,,,,,,Teletransportation,Male,,White or European,,41,College Graduate (4 year),,A28QOAOGHRD7PV,581038,581038,1
2024-06-28 13:34:01,2024-06-28 13:40:51,IP Address,108.60.219.71,100,409,True,2024-06-28 13:40:51,R_6veooWvo5vr92Rq,,,,,32.9457,-97.1547,anonymous,EN,Yes,Paul,Purple,,0,0,121.757,0,"A jumbled mess. My visual perception would be overloaded. In one eye, I might see my friend's kitchen, the pots and pans on the stove, and the steam rising from their dinner. In the other eye, I might see my relative's living room, the furniture, and the dust particles swirling in the sunlight filtering through the window.","A cacophony of sound. My auditory senses would be bombarded. I might hear the sizzling of my friend's cooking alongside the rhythmic whoosh of the fan and the clinking of utensils. Simultaneously, I might hear the soft swish of the broom across the floor at my relative's place, accompanied by the creaking floorboards and maybe even the chirping of birds outside.",A confusing mix. My olfactory system would be overwhelmed. The delicious aroma of my friend's cooking might clash with the dust motes tickling my nose at my relative's place. It would be a disorienting combination.,"Single consciousness, split screen",81,Teletransportation,Male,,White or European,,44,Masters Degree (MS),,A1NS92LCRMQOV,438069,438069,2
2024-06-28 13:40:02,2024-06-28 13:41:10,IP Address,139.171.194.96,100,68,True,2024-06-28 13:41:10,R_7EbbZetfKkzcNDF,,,,,39.0469,-77.4903,anonymous,EN,Yes,Paul,Purple,77,,,,,,,,,,Farming,Male,,White or European,,30,Masters Degree (MS),,A21OZR93HQTU6J,245212,245212,1
2024-06-28 13:37:10,2024-06-28 13:41:17,IP Address,192.6.67.71,100,246,True,2024-06-28 13:41:17,R_3bUmVkUPbhfoQM0,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,65,,,,,,,,,,Teletransportation,Male,,White or European,,30,High School or Equivalent,,A191H2JGPJA4RS,49973,49973,1
2024-06-28 13:37:53,2024-06-28 13:41:21,IP Address,209.20.231.12,100,207,True,2024-06-28 13:41:21,R_5q4QY31LZTteNBF,,,,,40.7359,-73.9904,anonymous,EN,Yes,Paul,Purple,50,,,,,,,,,,Teletransportation,Male,,White or European,,34,College Graduate (4 year),,A12MJ8Q0ACOPEJ,617477,617477,1
2024-06-28 13:39:49,2024-06-28 13:41:36,IP Address,209.20.236.55,100,106,True,2024-06-28 13:41:36,R_6Oy3ILhoCXMtaaK,,,,,40.7359,-73.9904,anonymous,EN,Yes,Paul,Purple,42,,,,,,,,,,Plane travel,Male,,White or European,,34,College Graduate (4 year),,A3O65XXK50TRZG,137764,137764,1
2024-06-28 13:35:11,2024-06-28 13:41:44,IP Address,205.220.211.170,100,392,True,2024-06-28 13:41:44,R_3CaoZn8CujiTFdb,,,,,32.7873,-108.2984,anonymous,EN,Yes,Paul,Purple,,0,0,131.707,0,"These descriptions capture the essence of two different imagined environments, each with its own unique atmosphere and style.



","In the cozy house with the fireplace and warm tones, you might hear the crackling of the fire, the soft ticking of a clock on the wall, and the "," vanilla and cinnamon from scented candles or baked goods. The air carries a faint floral scent from the garden outside, with the occasional whiff of freshly brewed coffee or tea from the kitchen.",Two consciousnesses,82,Plane travel,Male,,White or European,,41,Masters Degree (MS),,A2DYY4HBS811V4,i like this,464741,2
2024-06-28 13:38:42,2024-06-28 13:42:10,IP Address,192.6.253.238,100,208,True,2024-06-28 13:42:11,R_19iRkUBdQhoNo3s,,,,,46.8733,-92.0948,anonymous,EN,Yes,Paul,Purple,26,,,,,,,,,,Teletransportation,Male,,White or European,,1990,College Graduate (4 year),,A32GL0K7NMBBCM,855111,855111,1
2024-06-28 13:40:04,2024-06-28 13:42:23,IP Address,209.20.214.88,100,138,True,2024-06-28 13:42:23,R_3hrIARrVEtRyd7t,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,100,,,,,,,,,,Teletransportation,Male,,White or European,,30,High School or Equivalent,,AVLMF75N7DRR1,921734,921734,1
2024-06-28 13:34:47,2024-06-28 13:42:25,IP Address,188.191.103.160,100,457,True,2024-06-28 13:42:26,R_37BpAr0Q7DszefL,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,62,,,,,,,,,,Teletransportation,Male,,White or European,,35,College Graduate (4 year),,A2G1D4BEMPE0FZ,894751,894751,1
2024-06-28 13:38:52,2024-06-28 13:42:30,IP Address,162.253.252.112,100,217,True,2024-06-28 13:42:30,R_1o7rjQfUnEbSv8V,,,,,45.4153,-75.6894,anonymous,EN,No,Paul,Purple,,8.04,20.351,71.998,5,"Imagining things that haven't happened can prepare you for an important event, or get you excited about something you want to happen.","“Injustice anywhere is a threat to justice everywhere. We are caught in an inescapable network of mutuality, tied in a single garment of destiny. Whatever affects one directly, affects all indirectly.”",Phantosmia may be caused by a head injury or upper respiratory infection,Two consciousnesses,56,Plane travel,Male,,White or European,,34,College Graduate (4 year),,A3PJMDQ88WL50G,929179,929179,2
2024-06-28 13:41:57,2024-06-28 13:42:36,IP Address,139.171.196.100,100,38,True,2024-06-28 13:42:37,R_1oTYOwRR3Iyry8h,,,,,39.0469,-77.4903,anonymous,EN,Yes,Paul,Purple,77,,,,,,,,,,Farming,Male,,White or European,,30,Masters Degree (MS),,A1NWRVP8HAS6AT,856526,856526,1
2024-06-28 13:36:25,2024-06-28 13:42:36,IP Address,209.114.10.224,100,371,True,2024-06-28 13:42:37,R_6et3W4KO8Zh5OIN,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,60,,,,,,,,,,Teletransportation,Female,,White or European,,25,Doctoral Degree (PhD),,A27IWBGNH7K5G9,401945,401945,1
2024-06-28 13:39:03,2024-06-28 13:42:41,IP Address,38.240.142.198,100,217,True,2024-06-28 13:42:42,R_5fZx94SCoxjV34x,,,,,39.0469,-77.4903,anonymous,EN,Yes,Paul,Purple,48,,,,,,,,,,Plane travel,Female,,White or European,,29,Masters Degree (MS),,A3BUAU6657FMNA,,409260,1
2024-06-28 13:41:36,2024-06-28 13:42:49,IP Address,209.114.28.210,100,72,True,2024-06-28 13:42:49,R_7YFI1oe7Ad51Agn,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,15,,,,,,,,,,Plane travel,Male,,White or European,,30,Masters Degree (MS),,A3VXHLA8AYZGUH,,652870,1
2024-06-28 13:41:53,2024-06-28 13:42:49,IP Address,209.20.238.27,100,56,True,2024-06-28 13:42:50,R_5hGaJpgfMx8k8Gr,,,,,40.694,-73.9901,anonymous,EN,Yes,Paul,Purple,49,,,,,,,,,,Plane travel,Male,,White or European,,34,College Graduate (4 year),,AJB590J6WPLLK,733287,733287,1
2024-06-28 13:39:44,2024-06-28 13:43:12,IP Address,140.233.227.104,100,208,True,2024-06-28 13:43:13,R_3L1o4RsZbwO1M56,,,,,40.5802,-74.3594,anonymous,EN,Yes,Paul,Purple,100,,,,,,,,,,Teletransportation,Male,,White or European,,24,College Graduate (4 year),,A2PPW3LL8720KW,804274,804274,1
2024-06-28 13:38:42,2024-06-28 13:43:47,IP Address,204.114.115.218,100,304,True,2024-06-28 13:43:47,R_663lPxuxYFSzgvD,,,,,35.9825,-78.5376,anonymous,EN,Yes,Paul,Purple,45,,,,,,,,,,Teletransportation,Male,,White or European,,32,College Graduate (4 year),,ABVA5HP8ACO5Q,424590,424590,1
2024-06-28 13:43:21,2024-06-28 13:43:59,IP Address,139.171.196.101,100,37,True,2024-06-28 13:43:59,R_5stv4VoIHLXI7Ba,,,,,39.0469,-77.4903,anonymous,EN,Yes,Paul,Purple,94,,,,,,,,,,Farming,Male,,White or European,,30,Masters Degree (MS),,AFUXDYJAGMJ6N,189936,189936,1
2024-06-28 13:41:44,2024-06-28 13:44:00,IP Address,139.171.173.233,100,135,True,2024-06-28 13:44:00,R_1GVN0mIPzZ8FhbY,,,,,43.1139,-79.0425,anonymous,EN,Yes,Paul,Purple,80,,,,,,,,,,Teletransportation,Male,,White or European,,1990,Masters Degree (MS),,A2ZGM0NVVCXMUN,210493,210493,1
2024-06-28 13:42:05,2024-06-28 13:44:05,IP Address,208.196.105.39,100,119,True,2024-06-28 13:44:05,R_363VKgdkjqlqtO6,,,,,35.9875,-84.1168,anonymous,EN,Yes,Paul,Purple,96,,,,,,,,,,Teletransportation,Female,,White or European,,25,Some College,,A39SMGWHCYVXY9,224934,224934,1
2024-06-28 13:38:42,2024-06-28 13:44:16,IP Address,216.65.143.69,100,333,True,2024-06-28 13:44:17,R_1TorVzV6h1ZurAo,,,,,25.7349,-80.2228,anonymous,EN,Yes,Paul,Purple,,0,0,81.001,0,"MY RELATIVE SWEEPING ",SWEEPING SOUND FROM MY RELATIVE,NATURE SMELL,"Single consciousness, flipping",86,Teletransportation,Male,,White or European,,32,College Graduate (4 year),,A3T8A8OH4ZHEA3,19376,19376,2
2024-06-28 13:37:59,2024-06-28 13:44:29,IP Address,209.20.228.247,100,390,True,2024-06-28 13:44:30,R_11A1U6jWCfBCzbk,,,,,40.7359,-73.9904,anonymous,EN,Yes,Paul,Purple,100,,,,,,,,,,Teletransportation,Male,,White or European,,25,College Graduate (4 year),,A1LP15TO2Y7QCJ,869378,869378,1
2024-06-28 13:35:40,2024-06-28 13:44:40,IP Address,38.240.142.255,100,540,True,2024-06-28 13:44:41,R_3DM6gM9GXMqcCYZ,,,,,39.0469,-77.4903,anonymous,EN,Yes,Paul,Purple,39,,,,,,,,,,Teletransportation,Female,,White or European,,30,Masters Degree (MS),,A395APQVNJQOYH,good survey.,211891,1
2024-06-28 13:39:19,2024-06-28 13:44:43,IP Address,140.233.227.168,100,323,True,2024-06-28 13:44:44,R_6R2dp2nbtgQ45WY,,,,,40.5802,-74.3594,anonymous,EN,Yes,Paul,Purple,,0,0,62.442,0,none of the above,none of the above,none of the above,"Single consciousness, simultaneous",100,Teletransportation,Male,,White or European,,24,College Graduate (4 year),,A22AA39ZIFUHQI,815434,815434,2
2024-06-28 13:42:14,2024-06-28 13:44:50,IP Address,209.20.212.48,100,156,True,2024-06-28 13:44:51,R_3Vx68s0lV3OInBc,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,66,,,,,,,,,,Teletransportation,Male,,White or European,,30,College Graduate (4 year),,AIXZNUNYZHM4I,210435,210435,1
2024-06-28 13:42:22,2024-06-28 13:45:00,IP Address,154.27.86.70,100,157,True,2024-06-28 13:45:01,R_7I5Zh2j0hzUlQ72,,,,,26.7158,-80.0491,anonymous,EN,Yes,Paul,Purple,65,,,,,,,,,,Teletransportation,Female,,White or European,,34,Masters Degree (MS),,A28NDYKA1GPCF1,800148,800148,1
2024-06-28 13:44:41,2024-06-28 13:45:18,IP Address,139.171.196.154,100,36,True,2024-06-28 13:45:18,R_6cCrfdESWgKEqb1,,,,,39.0469,-77.4903,anonymous,EN,Yes,Paul,Purple,66,,,,,,,,,,Farming,Male,,Black or African American,,30,Masters Degree (MS),,A1MT25UCRPB7R3,691169,691169,1
2024-06-28 13:38:01,2024-06-28 13:45:24,IP Address,209.20.219.28,100,442,True,2024-06-28 13:45:24,R_7K71fqQcXFg840m,,,,,40.6115,-74.0156,anonymous,EN,Yes,Paul,Purple,100,,,,,,,,,,Teletransportation,Female,,White or European,,43,Masters Degree (MS),,APLYJOP26WC4W,210245,210245,1
2024-06-28 13:38:52,2024-06-28 13:45:42,IP Address,204.114.121.149,100,410,True,2024-06-28 13:45:43,R_1zOSOTKzeNyTeaC,,,,,35.9825,-78.5376,anonymous,EN,Yes,Paul,Purple,,0,0,61.524,0,quantum device records,relatives are talking about the issues,cooking smell,Two consciousnesses,74,Teletransportation,Female,,White or European,,33,College Graduate (4 year),,A1Z0G5SV4PZDUN,734999,734999,2
2024-06-28 13:37:41,2024-06-28 13:45:45,IP Address,162.253.252.136,100,484,True,2024-06-28 13:45:46,R_6eXZcGeNIwGukmt,,,,,45.4153,-75.6894,anonymous,EN,Yes,Paul,Purple,,51.464,51.464,63.743,1,my friend is cooking and my relative was sweeping,my friend is cooking sound and my relative was sweeping sound,my friend is cooking delicious food smell and my relative was sweeping dust smell,Two consciousnesses,50,Teletransportation,Male,,White or European,,34,College Graduate (4 year),,AWF9SOG2E982S,411835,411835,2
2024-06-28 13:45:11,2024-06-28 13:46:17,IP Address,137.155.118.219,100,65,True,2024-06-28 13:46:17,R_6Io2PcPoj0IIXv8,,,,,37.751,-97.822,anonymous,EN,Yes,Paul,Purple,10,,,,,,,,,,Plane travel,Male,,White or European,,30,Masters Degree (MS),,A3O99C10PHKVYN,,308045,1
2024-06-28 13:36:05,2024-06-28 13:46:31,IP Address,108.181.166.3,100,625,True,2024-06-28 13:46:32,R_79teWfyzNg3zFgG,,,,,32.7797,-96.8022,anonymous,EN,Yes,Paul,Purple,,5.135,266.973,270.8,3,"In my friend's house:
Brightly lit kitchen with modern appliances
My friend stirring a pot on the stove
Cheerful artwork on the walls
A vibrant garden visible through the window
In my relative's house:
Tidy living room with a plush sofa
My relative sweeping the floor
Family photos on the walls
Sunlight streaming in through the windows","In my friend's house:
Sizzling of vegetables in a pan
Soft hum of an exhaust fan
Occasional clinking of utensils
In my relative's house:
Rhythmic swishing of the broom
Gentle rustling of the broom against the floor","In my friend's house:
Aroma of spices and freshly cooked food
Slight scent of herbs from the garden outside
In my relative's house:
Subtle scent of freshly cleaned floors
Slight hint of cleaning solution and freshness",Two consciousnesses,87,Teletransportation,Female,,White or European,,37,Masters Degree (MS),,A3PTI24KUD6JRU,472659,472659,2
2024-06-28 13:40:35,2024-06-28 13:46:35,IP Address,147.124.211.5,100,359,True,2024-06-28 13:46:35,R_3mz2EPsnBSD4cZL,,,,,32.7797,-96.8022,anonymous,EN,Yes,Paul,Purple,,0,0,89.927,0,"God's answer to our suffering, at least in part, is to come and suffer with us. To experience our pain. To identify with us. And to show that, even when we don't have all the answers, if God is willing to suffer in this way for us, then surely we can trust him.",Martin Luther King Jr. wrote the Letter from Birmingham Jail while he was imprisoned for leading nonviolent civil rights demonstrations in Alabama in 1963,"A weird smell in a house can come from numerous sources, including appliances, furniture, carpets, fabrics or issues like mold or mildew. Occasionally, odors may be caused by sewer gas, natural gas leaks or animals that have died between walls, in attics or under decks.",Two consciousnesses,97,Teletransportation,Male,,White or European,,36,Masters Degree (MS),,A3PJK65Q9L6V2X,808368,808368,2
